train loss:0.0011366823699063388,evaluation loss:0.0006150945206172765
train loss:0.001353585118946891,evaluation loss:0.0005723366552653412
train loss:0.0013380020463955589,evaluation loss:0.0005871681942759703
train loss:0.0017073908039795546,evaluation loss:0.0005035304755438119
train loss:0.0010170767677967281,evaluation loss:0.0025599524184751012
train loss:0.0013660536555107684,evaluation loss:0.00044493114110082387
train loss:0.0016114395708427764,evaluation loss:0.0007582618806433553
train loss:0.001208796761056874,evaluation loss:0.00037103726887532197
train loss:0.0010417090669458653,evaluation loss:0.00039606926826915394
train loss:0.0011718231014431998,evaluation loss:0.0003753744895220734
train loss:0.0010541108326530472,evaluation loss:0.0005259254239111517
train loss:0.0010968483602482593,evaluation loss:0.0005339470119603599
train loss:0.0013621557740407298,evaluation loss:0.0003884646464333249
train loss:0.00111630564861116,evaluation loss:0.0010244083241559565
train loss:0.0011071550036528303,evaluation loss:0.001098260855845486
train loss:0.001483165900329671,evaluation loss:0.0004199253201174239
train loss:0.0009182586562625753,evaluation loss:0.0004418063210323453
train loss:0.0015508384339530798,evaluation loss:0.00037580255205587796
train loss:0.0010768019432968383,evaluation loss:0.0004041469976073131
train loss:0.0009888738148826329,evaluation loss:0.0003987405371541778
train loss:0.0013917419770829536,evaluation loss:0.0007855414315902938
train loss:0.0009535501633460323,evaluation loss:0.0003867327512125485
train loss:0.001498804501898121,evaluation loss:0.00040427521259213487
train loss:0.004167046266350856,evaluation loss:0.009020748951782783
train loss:0.0019786580739795073,evaluation loss:0.0005648034857586026
train loss:0.001540290822958923,evaluation loss:0.000360151730516615
train loss:0.0010326905315499364,evaluation loss:0.00036657742069413267
train loss:0.0010187569632156132,evaluation loss:0.00037854616287707663
train loss:0.000993966083963945,evaluation loss:0.00035098626588781677
train loss:0.0014614665634629395,evaluation loss:0.00041710423344435793
train loss:0.002042483678087592,evaluation loss:0.0004063591681187972
train loss:0.0011026728401096382,evaluation loss:0.00038266185777805124
train loss:0.0009443531645956682,evaluation loss:0.00040004965267144145
train loss:0.0009854370439522123,evaluation loss:0.00037592761994649965
train loss:0.0010121882197078472,evaluation loss:0.0005635546190508951
train loss:0.0013204320070750934,evaluation loss:0.00041285371068321787
train loss:0.0008971733278788937,evaluation loss:0.0004077959708714237
train loss:0.0021657345604277605,evaluation loss:0.0004708366235718131
train loss:0.0010033436757415379,evaluation loss:0.0011763343083051345
train loss:0.0011461648756570261,evaluation loss:0.0015978118812199683
train loss:0.0010982038521130258,evaluation loss:0.00043246955513798945
train loss:0.0011881609598882884,evaluation loss:0.000719637165699775
train loss:0.0019332793703749,evaluation loss:0.00039209931613489363
train loss:0.0009928039985728295,evaluation loss:0.00035071551052775856
train loss:0.0009620271249635455,evaluation loss:0.0004118068104920288
train loss:0.0016545691526213583,evaluation loss:0.00036571468275118
train loss:0.0009939064939923506,evaluation loss:0.00037590476325325046
train loss:0.0009713729043141939,evaluation loss:0.00044473025191109626
train loss:0.0011717127032170537,evaluation loss:0.0004756799035628016
train loss:0.001436206422416338,evaluation loss:0.0007846861650856832
train loss:0.001112859626300633,evaluation loss:0.00047097572435935337
train loss:0.0010714700639558336,evaluation loss:0.00042498522816458717
train loss:0.0010468882017448777,evaluation loss:0.0003903574872917185
train loss:0.0009674539891420863,evaluation loss:0.00039570160006405784
train loss:0.0010175733195258848,evaluation loss:0.00045941045973449943
train loss:0.001819794307812117,evaluation loss:0.0016884657049862047
train loss:0.0012244314564062127,evaluation loss:0.000556890528726702
train loss:0.0011170900591726725,evaluation loss:0.0017840831947978585
train loss:0.001043587705741326,evaluation loss:0.0012151128243810187
train loss:0.0014530267593121,evaluation loss:0.00038706453633494673
train loss:0.0009455645659424287,evaluation loss:0.00037083442099780466
train loss:0.0009381591728015338,evaluation loss:0.0004673333421427136
train loss:0.0010075534117883458,evaluation loss:0.0009087169077247381
train loss:0.001317815957372659,evaluation loss:0.00034509515923370295
train loss:0.0011783481740470355,evaluation loss:0.0005093928213076045
train loss:0.001279879524857582,evaluation loss:0.0004445268238972252
train loss:0.0008596796024600432,evaluation loss:0.00041738107490042845
train loss:0.0009678535502947246,evaluation loss:0.000894673519845431
train loss:0.0009237964615749661,evaluation loss:0.00044842847758748877
train loss:0.001145865367167668,evaluation loss:0.0004898524765546123
