train loss:0.0020923124602025686,evaluation loss:0.0004851313943314987
train loss:0.0014638188430884233,evaluation loss:0.0007185362512245775
train loss:0.0013367021461211455,evaluation loss:0.0004431108779196317
train loss:0.0015521594845874158,evaluation loss:0.00045239394433641185
train loss:0.002669116274167512,evaluation loss:0.005259885642832766
train loss:0.00231875424287864,evaluation loss:0.0004337956721428782
train loss:0.0012638227444161506,evaluation loss:0.0009084263050075
train loss:0.0013096024301679184,evaluation loss:0.0008863909994640077
train loss:0.001297950839943951,evaluation loss:0.0004424299511204784
train loss:0.001652330019957541,evaluation loss:0.0028468418342527
train loss:0.0018135618071634478,evaluation loss:0.002149142026125143
train loss:0.0016280233573828203,evaluation loss:0.00042930394314074266
train loss:0.0014013786774739855,evaluation loss:0.0010348136624088512
train loss:0.0025742449196210753,evaluation loss:0.0005386421849834733
train loss:0.001303230736812111,evaluation loss:0.000489100367606928
train loss:0.0012083466225400721,evaluation loss:0.0004330319177825004
train loss:0.0014631888625444844,evaluation loss:0.0007074683662115906
train loss:0.0012118215587785623,evaluation loss:0.0004970934930800771
train loss:0.0011534301321565485,evaluation loss:0.0017043495638063178
train loss:0.0014215825370532305,evaluation loss:0.0004466339994299536
train loss:0.0011142088175499036,evaluation loss:0.0014181212172843516
train loss:0.0013207531061198096,evaluation loss:0.00044098572980146857
train loss:0.0014087978301783248,evaluation loss:0.0004189695609966293
train loss:0.0012793067756623107,evaluation loss:0.004299914739870777
train loss:0.0020856635477684905,evaluation loss:0.00047642215455804643
train loss:0.0011838607361520795,evaluation loss:0.0004305342634324916
train loss:0.0013696724958814836,evaluation loss:0.0004170951729368729
train loss:0.001423118878301466,evaluation loss:0.0006654620432527736
train loss:0.0016000598544148184,evaluation loss:0.00038589781130819273
train loss:0.001104186090985119,evaluation loss:0.00040759462863206866
train loss:0.0017702599524151688,evaluation loss:0.0016583558870479464
train loss:0.0011202104561865176,evaluation loss:0.0004325879242969677
train loss:0.0011532517749098285,evaluation loss:0.00041562995271912466
train loss:0.0014241889611488054,evaluation loss:0.0012793058102640012
train loss:0.0014208719665475655,evaluation loss:0.0007737291443239276
train loss:0.0015982169553656908,evaluation loss:0.0005371018875545511
train loss:0.0029291101983593155,evaluation loss:0.003263201649921636
train loss:0.0015153345610694183,evaluation loss:0.0018340266251470894
train loss:0.0012083793957572198,evaluation loss:0.00040187062938154365
train loss:0.0009746876115968916,evaluation loss:0.0007785495031081761
train loss:0.0011076458709188349,evaluation loss:0.00042729695657423386
train loss:0.0010509390933293617,evaluation loss:0.00042501441591108837
train loss:0.001249767171490627,evaluation loss:0.0004182082659099251
train loss:0.001089180830604164,evaluation loss:0.00038796351776303103
train loss:0.001071361463376282,evaluation loss:0.0004442337619063134
train loss:0.0011146388678753283,evaluation loss:0.0004349099074412758
train loss:0.001019272245078658,evaluation loss:0.000439940615130278
train loss:0.0011422165819870618,evaluation loss:0.00039120231425234425
train loss:0.0012176976075958617,evaluation loss:0.0004673344223798873
train loss:0.0011073467852838804,evaluation loss:0.00039819470306004707
train loss:0.0010988728944842782,evaluation loss:0.0007228989435437446
train loss:0.0012630622125774,evaluation loss:0.0004222816739153738
train loss:0.0012295257483250074,evaluation loss:0.0004216576121204222
train loss:0.0015532001674728236,evaluation loss:0.00047145577749082196
train loss:0.0010747135248190412,evaluation loss:0.0004007741236515964
train loss:0.0012136908915029684,evaluation loss:0.0009911027542936306
train loss:0.0009681093194861508,evaluation loss:0.0035394827243483934
train loss:0.0016224883734442604,evaluation loss:0.0004581823775273127
train loss:0.0016290718679859613,evaluation loss:0.000630819279467687
train loss:0.0015038502500829055,evaluation loss:0.00039474718942074106
train loss:0.001182227824877676,evaluation loss:0.000368256541454078
train loss:0.0009194413341901964,evaluation loss:0.0012239720575356234
train loss:0.006796398244720573,evaluation loss:0.001731231218824784
train loss:0.001196773719372383,evaluation loss:0.0004056024888996035
train loss:0.001272873971174704,evaluation loss:0.0004490932944463566
train loss:0.0009797858531480112,evaluation loss:0.0006746406259480863
train loss:0.0013444295482865224,evaluation loss:0.0004290532097608472
train loss:0.001234673997775341,evaluation loss:0.0003838060874841176
train loss:0.0008505959155930517,evaluation loss:0.0003636381060156661
train loss:0.0009688016296422574,evaluation loss:0.00045252244356864445
train loss:0.0009025227037151733,evaluation loss:0.00039303215889958666
train loss:0.0010202321231190582,evaluation loss:0.00046153267903719096
train loss:0.0010679290420133232,evaluation loss:0.0008861300952654953
train loss:0.0009250577313650865,evaluation loss:0.000395566105726175
train loss:0.001843307540548267,evaluation loss:0.000606227347937723
train loss:0.0013327810053548699,evaluation loss:0.0008388222990712772
train loss:0.0009400637349851119,evaluation loss:0.00039178859102927767
train loss:0.0008246628671865134,evaluation loss:0.0009282557293772697
train loss:0.0012172662160689167,evaluation loss:0.0005710552204012249
train loss:0.0012972311715808852,evaluation loss:0.0004168937758853038
