train loss:0.6063559337208668,evaluation loss:0.2101561203598976
train loss:0.12646953334721425,evaluation loss:0.06592238824814559
train loss:0.05411419772232572,evaluation loss:0.0356712012241284
train loss:0.036309808717730145,evaluation loss:0.026390566304326058
train loss:0.028663635867026947,evaluation loss:0.021410048256317774
train loss:0.023315335802423457,evaluation loss:0.01630021552555263
train loss:0.01831102156623577,evaluation loss:0.01543561004412671
train loss:0.014659682001608113,evaluation loss:0.010278952307999134
train loss:0.011597826134917947,evaluation loss:0.010351843123013774
train loss:0.010304872412234545,evaluation loss:0.007023831099892656
train loss:0.008680670875279854,evaluation loss:0.0062067331202949085
train loss:0.007221268000042376,evaluation loss:0.004577641767294457
train loss:0.006685315404320135,evaluation loss:0.004055076922910909
train loss:0.0058588957181200385,evaluation loss:0.003549659880809486
train loss:0.00540682579545925,evaluation loss:0.0031381913150350252
train loss:0.004871197259732677,evaluation loss:0.003308920236304402
train loss:0.004740998295892496,evaluation loss:0.003118979771776746
train loss:0.004634428454543619,evaluation loss:0.002207772488084932
train loss:0.003822185123863164,evaluation loss:0.002329555101459846
train loss:0.0035492207971401513,evaluation loss:0.0017528982406171659
train loss:0.0032236556808735864,evaluation loss:0.001840284924643735
train loss:0.0030076832098226685,evaluation loss:0.0018925225109948467
train loss:0.002788416395196691,evaluation loss:0.00148193309820878
train loss:0.002692923335901772,evaluation loss:0.0013597440032754094
train loss:0.0025056834150746,evaluation loss:0.0011823064841640493
train loss:0.002505734816804761,evaluation loss:0.0017898567505956937
train loss:0.002394058962818235,evaluation loss:0.001057703538875406
train loss:0.002343298239429714,evaluation loss:0.0014796741772443057
train loss:0.0027389509094064126,evaluation loss:0.0010102674927717696
train loss:0.0023145318329625296,evaluation loss:0.0010842218975691746
train loss:0.0020949271602148656,evaluation loss:0.0016221799848911663
train loss:0.0021644636188284496,evaluation loss:0.0012635746485708903
train loss:0.0018350780330365524,evaluation loss:0.005236410184685762
train loss:0.00210070902564136,evaluation loss:0.0019585390381204586
train loss:0.0020703889218566473,evaluation loss:0.0016150860659157236
train loss:0.0021244062724387427,evaluation loss:0.0008875266105557481
train loss:0.0017429166196961886,evaluation loss:0.0008854778910366198
train loss:0.002446944237453863,evaluation loss:0.0007563654013210908
train loss:0.0016151505146505467,evaluation loss:0.007087234397962068
train loss:0.0024107809855195227,evaluation loss:0.0007466820068657398
train loss:0.0019388308459989882,evaluation loss:0.0010810265045923491
train loss:0.001697965486528119,evaluation loss:0.0006942954234546051
train loss:0.0018709049858443906,evaluation loss:0.0015277925180271269
train loss:0.0016597751576531057,evaluation loss:0.002074870655390744
train loss:0.001822473505793217,evaluation loss:0.0010074892935032645
train loss:0.0017135629782084531,evaluation loss:0.0006547920279748117
