train loss:0.0010768651161924935,evaluation loss:0.0003975986823206767
train loss:0.0010935409720938575,evaluation loss:0.0034223069398043055
train loss:0.0011091998387807204,evaluation loss:0.0007139290479244665
train loss:0.0012396116225621276,evaluation loss:0.0003721883132432898
train loss:0.0007652219030812072,evaluation loss:0.005916714485889921
train loss:0.0011714439649949781,evaluation loss:0.0008232083598462244
train loss:0.0011763781436457065,evaluation loss:0.002104231545429987
train loss:0.0010822350911136407,evaluation loss:0.001492267216478164
train loss:0.001128810775965879,evaluation loss:0.00044265941251069306
train loss:0.0011957059934502468,evaluation loss:0.0003706700920398968
train loss:0.0009560396361242359,evaluation loss:0.00037210940305764474
train loss:0.0009536637956140718,evaluation loss:0.00035842672756795463
train loss:0.0008988364330434706,evaluation loss:0.0007180275317902366
train loss:0.0011670232237520396,evaluation loss:0.0024827080429531633
train loss:0.0011723532511192995,evaluation loss:0.00037453979117951043
train loss:0.0032145846544153756,evaluation loss:0.0003501694770723892
train loss:0.0010103771889892717,evaluation loss:0.0006223379702229673
train loss:0.0008561914635113984,evaluation loss:0.0009727724934540068
train loss:0.0010391996935747254,evaluation loss:0.0004030413527895386
train loss:0.0010485329114696166,evaluation loss:0.00035289280591920637
train loss:0.000839862057788802,evaluation loss:0.0004374476101171846
train loss:0.0012964589174468226,evaluation loss:0.0004162388261950885
train loss:0.0011152028606981428,evaluation loss:0.0005038568361972769
train loss:0.0008054308991025512,evaluation loss:0.00040163562662201004
train loss:0.001382537480579534,evaluation loss:0.0005661845158707971
train loss:0.0008480268011529309,evaluation loss:0.00034699259801224494
train loss:0.0008508262725323827,evaluation loss:0.0013839592730316022
train loss:0.001464330365221637,evaluation loss:0.0032472335985706496
train loss:0.0008252433108282275,evaluation loss:0.0003878218529280275
train loss:0.0017789284114163213,evaluation loss:0.0005276317310441907
train loss:0.0009619703795275806,evaluation loss:0.0003307285005575977
train loss:0.0008529910816529688,evaluation loss:0.00043272434753210596
train loss:0.0006908111543452832,evaluation loss:0.0016087708461175983
train loss:0.0013912349710153648,evaluation loss:0.0006709281879011542
train loss:0.0009802998751789953,evaluation loss:0.0010911487498863912
train loss:0.0011654188090081637,evaluation loss:0.00033461472291188937
train loss:0.0009118838506158984,evaluation loss:0.0014636355782082925
train loss:0.0013013618845434394,evaluation loss:0.00033537507745980594
train loss:0.0008152636665424022,evaluation loss:0.00039655340854854635
train loss:0.0008227357797295553,evaluation loss:0.0003338268114021048
train loss:0.0008292860955407377,evaluation loss:0.0008317052968777716
train loss:0.0008087332052430914,evaluation loss:0.0003807253281896313
train loss:0.0009554036070767325,evaluation loss:0.005655122591027369
train loss:0.0011551183436192029,evaluation loss:0.0003667033442373698
train loss:0.0007953623466164572,evaluation loss:0.0003714763462388267
train loss:0.0007806082926739085,evaluation loss:0.0003513747768010944
train loss:0.001747677623279742,evaluation loss:0.0014111290297781427
train loss:0.0011888020060723647,evaluation loss:0.0003979948936224294
train loss:0.0006959357245553596,evaluation loss:0.0024335861390378946
train loss:0.0013305240041518117,evaluation loss:0.00035319960249277453
