train loss:0.0014435802325654852,evaluation loss:0.0024239581737977764
train loss:0.0009603468298640413,evaluation loss:0.00040194022682650635
train loss:0.0008591247828007908,evaluation loss:0.0003429344447795302
train loss:0.001517801564114052,evaluation loss:0.00034519189454537507
train loss:0.0010809710785300317,evaluation loss:0.00037260305834934114
train loss:0.0010345218865647136,evaluation loss:0.000543378759175539
train loss:0.0008404647702263901,evaluation loss:0.00034126037692961596
train loss:0.0013251947441555482,evaluation loss:0.0013089871926543614
train loss:0.0008196420378226322,evaluation loss:0.0010298370209056884
train loss:0.000908935243448165,evaluation loss:0.0003415058240837728
