train loss:0.0011671111453324557,evaluation loss:0.0003306475375817778
train loss:0.0013901127655117306,evaluation loss:0.0005233522756801297
train loss:0.0006912253308352471,evaluation loss:0.001206784041520829
train loss:0.0013640041299368022,evaluation loss:0.0008281780969506751
train loss:0.000867133760402794,evaluation loss:0.0003620692121330649
train loss:0.0012066213642052996,evaluation loss:0.00035708445308652395
train loss:0.0008478122150942605,evaluation loss:0.000331988370938537
train loss:0.0007101871988804002,evaluation loss:0.00432600866673359
train loss:0.0009933673576597358,evaluation loss:0.001680751534877345
train loss:0.0011343922689169025,evaluation loss:0.0006159088855686908
train loss:0.0008455032964169126,evaluation loss:0.003593563441730415
train loss:0.0011411064697313122,evaluation loss:0.00035335342108737676
train loss:0.0008594066780157543,evaluation loss:0.000915340167315056
train loss:0.0012987219963785416,evaluation loss:0.0013432436535367742
train loss:0.000936758606864411,evaluation loss:0.0003685691102873534
train loss:0.000985829873388866,evaluation loss:0.0033204123862863827
train loss:0.0010079058981015503,evaluation loss:0.000429293701502805
train loss:0.0011073834696920433,evaluation loss:0.0010854818266428387
train loss:0.000866619076502199,evaluation loss:0.0003313909071342399
train loss:0.0009765240984658401,evaluation loss:0.00032252399153852215
train loss:0.0007990811162017053,evaluation loss:0.0004080474105042716
train loss:0.0010077850604526854,evaluation loss:0.0003943411342334002
train loss:0.0008520183420235601,evaluation loss:0.0017929570264338206
train loss:0.0015032787054224173,evaluation loss:0.0003400779508713943
train loss:0.0006050372902488258,evaluation loss:0.0010218244598945603
train loss:0.0011884009752975544,evaluation loss:0.0010659016144927592
train loss:0.001319732773481519,evaluation loss:0.0003236441373398217
train loss:0.0007052948253355377,evaluation loss:0.0003941747718878711
train loss:0.0011799263467158502,evaluation loss:0.008875119971344247
train loss:0.0015318647416279418,evaluation loss:0.00034828812301081294
