train loss:0.003370145223743748,evaluation loss:0.006901166673439245
train loss:0.00137510748609202,evaluation loss:0.0005027500291665395
train loss:0.00041092268547799905,evaluation loss:0.00040289364017856617
train loss:0.0004209006007537634,evaluation loss:0.00039949584073231865
train loss:0.0003956347198254662,evaluation loss:0.00044631720666075123
train loss:0.0005327984032192035,evaluation loss:0.000537468681189542
train loss:0.00040907509634659315,evaluation loss:0.0005546921961164723
train loss:0.0004615200701664435,evaluation loss:0.0010037213937418225
train loss:0.0006033822690369561,evaluation loss:0.00042694615597914284
train loss:0.00043057410815284435,evaluation loss:0.0005278937644713248
train loss:0.0004832077817506312,evaluation loss:0.00040699533177151657
train loss:0.0004951893807932114,evaluation loss:0.0006780668520756687
train loss:0.0004252093018294545,evaluation loss:0.0003743782862632846
train loss:0.00042118295314139684,evaluation loss:0.0005267441296988788
train loss:0.0006389675646156927,evaluation loss:0.0006000265275361016
train loss:0.00038786653385614045,evaluation loss:0.00041124196044014144
train loss:0.0006042357574187918,evaluation loss:0.0004682527166247989
train loss:0.0004812021121324506,evaluation loss:0.00044589562894543634
train loss:0.0004187346137769055,evaluation loss:0.0006103226391132921
train loss:0.0010821806682846122,evaluation loss:0.0010680794599466025
train loss:0.0004885206560478158,evaluation loss:0.0005766879553751399
train loss:0.0004411642305058194,evaluation loss:0.0004532584658591077
train loss:0.0005080766575702,evaluation loss:0.0006557939253980294
train loss:0.0004727106754823277,evaluation loss:0.00038195467059267687
train loss:0.00042753149961451223,evaluation loss:0.0004064227658091113
train loss:0.0004201515884536396,evaluation loss:0.0004468672608102982
train loss:0.00044989135591701294,evaluation loss:0.0005690642496726166
train loss:0.0004210918169216408,evaluation loss:0.00036818625764378034
train loss:0.0005837199903908185,evaluation loss:0.0006834794893317546
train loss:0.0005623241784633137,evaluation loss:0.0009908143464902727
train loss:0.0004801430528459605,evaluation loss:0.00038857731657723586
train loss:0.0005283576301735593,evaluation loss:0.0008485859570403893
train loss:0.0006472744418715593,evaluation loss:0.00044111900012164067
train loss:0.0004021325865323888,evaluation loss:0.0004912307510191264
train loss:0.000528618445120325,evaluation loss:0.0007848144052938248
train loss:0.0007897826777480077,evaluation loss:0.0017824637490169457
train loss:0.0005629353539310008,evaluation loss:0.00046740967566923547
train loss:0.0005036593037705946,evaluation loss:0.0007233503614164268
train loss:0.0005325509904650971,evaluation loss:0.00040791927652511126
train loss:0.0005204013650654815,evaluation loss:0.0003828138103320574
train loss:0.0004656163924664725,evaluation loss:0.00041396406401569645
train loss:0.0006017374676351513,evaluation loss:0.0004530447690437237
train loss:0.00042080201928911264,evaluation loss:0.000371069162307928
train loss:0.00045922880393239516,evaluation loss:0.00039812880374180774
train loss:0.00045498626253296,evaluation loss:0.000525964373567452
train loss:0.0004637086937388328,evaluation loss:0.0006155557872261852
train loss:0.001814555499489264,evaluation loss:0.0005417022000377377
train loss:0.0004007485909824027,evaluation loss:0.00042643770284485073
train loss:0.0004032761531561846,evaluation loss:0.0004264492711323934
train loss:0.0004269329971672657,evaluation loss:0.0006683141080429777
train loss:0.00039319546861709873,evaluation loss:0.0005618030462452831
train loss:0.0006157243304187431,evaluation loss:0.0007634497354350364
train loss:0.0005990097270114347,evaluation loss:0.00039930976102671895
train loss:0.000505792279485225,evaluation loss:0.000419468866311945
train loss:0.00042117388438782654,evaluation loss:0.000398908793188942
train loss:0.00042613209116098004,evaluation loss:0.0004616931420362865
train loss:0.00042478093128011095,evaluation loss:0.00045631173027989763
train loss:0.00038196471444583343,evaluation loss:0.000423385687948515
train loss:0.000463050427424605,evaluation loss:0.0004596208891598508
train loss:0.0005386939731882497,evaluation loss:0.00042871678160736335
train loss:0.00046609025436434117,evaluation loss:0.0004075887593595932
train loss:0.0007628982228197855,evaluation loss:0.00037388151928704854
train loss:0.00039237245716018757,evaluation loss:0.0008768127067014575
train loss:0.0005939142842786775,evaluation loss:0.0015297714970074594
train loss:0.000874479193832182,evaluation loss:0.0005670081668843825
train loss:0.00038646640714432576,evaluation loss:0.0004683599021518603
train loss:0.00043180666652915535,evaluation loss:0.00037884181559396285
train loss:0.0004294865906558698,evaluation loss:0.00046012705279281364
train loss:0.0007989955857434931,evaluation loss:0.0005578910844633356
train loss:0.00046151789283612745,evaluation loss:0.0008488114671005557
