train loss:0.0012255818902000707,evaluation loss:0.0007175127354760965
train loss:0.0004557193492170578,evaluation loss:0.00032903460960369556
train loss:0.0004859915323322639,evaluation loss:0.000372593034505068
train loss:0.00040032276847341565,evaluation loss:0.00032495294872205707
train loss:0.00042662493093909384,evaluation loss:0.0003278127240870769
train loss:0.00042008956540181923,evaluation loss:0.00033510330201049024
train loss:0.0005439658102356286,evaluation loss:0.0005042986939467179
train loss:0.0004575136713053022,evaluation loss:0.0006717392476275563
train loss:0.00044239559586761366,evaluation loss:0.00036183244568140555
train loss:0.0003867226512132523,evaluation loss:0.00036565245245583354
train loss:0.0003976702479121741,evaluation loss:0.0003968184891467293
train loss:0.00044562315779330677,evaluation loss:0.0005394923064159229
train loss:0.0004009738393506268,evaluation loss:0.0006514358411853512
train loss:0.00045677478240880497,evaluation loss:0.00035925421107094733
train loss:0.00045112888704655537,evaluation loss:0.0018410824481785919
train loss:0.0013602700655610533,evaluation loss:0.0003622131984836111
train loss:0.00038815999493332736,evaluation loss:0.00036664701813909537
train loss:0.00038953856225513544,evaluation loss:0.0004658361237185697
train loss:0.0004001323897682596,evaluation loss:0.0007341956506328036
train loss:0.00041944281899001606,evaluation loss:0.0004109926812816411
train loss:0.00041430647482532855,evaluation loss:0.000363778705165411
train loss:0.0004060741319941978,evaluation loss:0.0003849724200942243
train loss:0.000359163862473603,evaluation loss:0.00034916720615001394
train loss:0.00037216315880262606,evaluation loss:0.0003964654645339275
train loss:0.0005059167249176729,evaluation loss:0.0005787332551941897
train loss:0.0003692639642395079,evaluation loss:0.0004004481243706929
train loss:0.00037967046555422714,evaluation loss:0.00035299462906550615
train loss:0.00037497714923423095,evaluation loss:0.0004088010095680753
train loss:0.000461103288156058,evaluation loss:0.0004326624674528527
train loss:0.00041143614835164043,evaluation loss:0.0006654136688060438
