train loss:0.0008981349549382382,evaluation loss:0.0003689117399820437
train loss:0.0003904708904883591,evaluation loss:0.0004235344337454687
train loss:0.00045345459560242795,evaluation loss:0.0005384013270183156
train loss:0.00044599833660565006,evaluation loss:0.0003496438303651909
train loss:0.0011494486247102032,evaluation loss:0.0011922279411616425
train loss:0.0005658286811618988,evaluation loss:0.0005327347758187291
train loss:0.0004552292795172737,evaluation loss:0.00038309476415937147
train loss:0.0003902543602938143,evaluation loss:0.0005187452809574703
train loss:0.00042694057835130175,evaluation loss:0.0005208697766647674
train loss:0.00048199147883375794,evaluation loss:0.000529925333103165
train loss:0.0004046434560829463,evaluation loss:0.0006071635618961106
train loss:0.0004322250085048533,evaluation loss:0.00035569800093071535
train loss:0.0005857852205129651,evaluation loss:0.0015878351870924235
train loss:0.0005538682707992848,evaluation loss:0.000410066008529005
train loss:0.0004872008035211669,evaluation loss:0.0006845749448984861
train loss:0.0005059980345928731,evaluation loss:0.00041398777781675257
train loss:0.0004914824611963316,evaluation loss:0.00036654165984752277
train loss:0.0005247200995654566,evaluation loss:0.0005543945851968601
train loss:0.0005763473150485273,evaluation loss:0.00047833723947405816
train loss:0.0005001248411038735,evaluation loss:0.00038001643260940907
train loss:0.000400126950989943,evaluation loss:0.00036037991570386416
train loss:0.0004067633555678185,evaluation loss:0.0003547571977833286
train loss:0.00047472416020658177,evaluation loss:0.00042531853396212684
train loss:0.0009168834447336848,evaluation loss:0.00042508820333750916
train loss:0.00041601754710427483,evaluation loss:0.0004617365630110726
train loss:0.0008633678868742815,evaluation loss:0.0003744473971892148
train loss:0.0003682124387220635,evaluation loss:0.0005609570352438216
train loss:0.0004195046539583321,evaluation loss:0.0005886619318819915
train loss:0.0004969541623722762,evaluation loss:0.0008147529219665254
train loss:0.0005156363776526025,evaluation loss:0.0007714968717967471
train loss:0.0008449613885507764,evaluation loss:0.00041883366502588616
train loss:0.00039730928062150876,evaluation loss:0.00046145951103729506
train loss:0.00045571163257894417,evaluation loss:0.0004794354783371091
train loss:0.0003995091365747309,evaluation loss:0.0003858285209086413
train loss:0.00043323207925520063,evaluation loss:0.0004018025254481472
train loss:0.00042340692004169493,evaluation loss:0.000503779386538857
train loss:0.00044143777401283536,evaluation loss:0.0003449484933904993
train loss:0.00041949694120072917,evaluation loss:0.00038250159996096046
train loss:0.0004933102250409623,evaluation loss:0.0003638396767200902
train loss:0.0005664871987391962,evaluation loss:0.000436567979825971
train loss:0.00045170284683990756,evaluation loss:0.0006751469210333501
train loss:0.0004900299867586,evaluation loss:0.00041726113364954167
train loss:0.001511074231530074,evaluation loss:0.0004989086456286411
train loss:0.00041894221540133,evaluation loss:0.0012467001545398186
train loss:0.0004557117502069256,evaluation loss:0.00048717020254116503
train loss:0.00040215785120381045,evaluation loss:0.000392647865616406
train loss:0.0004301459034953344,evaluation loss:0.0003670478404577201
train loss:0.00043327118874003645,evaluation loss:0.0004096608841791749
train loss:0.0004394694660732057,evaluation loss:0.0004077460675034672
train loss:0.0006765020159946288,evaluation loss:0.00041169224908420196
train loss:0.00047777759027667344,evaluation loss:0.000456826919495749
train loss:0.0005142969609247908,evaluation loss:0.0004394806184185048
train loss:0.00039391402582017085,evaluation loss:0.0007047042852112403
train loss:0.00043933425113209525,evaluation loss:0.00039159346488304436
train loss:0.00048033514297761334,evaluation loss:0.0008258220594143495
train loss:0.0004059204955410678,evaluation loss:0.00036005549676095444
train loss:0.0005076592967573864,evaluation loss:0.00035519600205589084
train loss:0.0005072838372143451,evaluation loss:0.000389661944063846
train loss:0.00038304632932219344,evaluation loss:0.0008503441097370038
train loss:0.0004222812009781289,evaluation loss:0.0003761055117744642
