train loss:0.00042811964982926535,evaluation loss:0.00034050637720307956
train loss:0.00043231060723580107,evaluation loss:0.0004125104639873219
train loss:0.0004057499800789325,evaluation loss:0.00039761388519157965
train loss:0.0005022930674992191,evaluation loss:0.0009486767502191166
train loss:0.0007667907064994021,evaluation loss:0.00033349335523477446
train loss:0.0003954969831587126,evaluation loss:0.0005385134155706813
train loss:0.0003706389018285942,evaluation loss:0.0003773921494333384
train loss:0.0004476558816046842,evaluation loss:0.000555357559157225
train loss:0.00043776744981490384,evaluation loss:0.0004807099166403835
train loss:0.00039742932967783416,evaluation loss:0.00036645717239783455
train loss:0.0006347851163203207,evaluation loss:0.000374341896288873
train loss:0.00039575943507467554,evaluation loss:0.0008175070601282641
train loss:0.0009736859718638395,evaluation loss:0.0006785325628394882
train loss:0.0005288794262014562,evaluation loss:0.00036439749577160305
train loss:0.0003844499552845567,evaluation loss:0.00034204752009827646
train loss:0.00039836754634355504,evaluation loss:0.00042284683925875776
train loss:0.0003808130666584475,evaluation loss:0.0003641607526030081
train loss:0.00042169439924085356,evaluation loss:0.00042145128099946305
train loss:0.0004525233893218683,evaluation loss:0.00035869036607133844
train loss:0.000496369513590859,evaluation loss:0.00033045893360394984
train loss:0.00038189785421612515,evaluation loss:0.0003750048306149741
train loss:0.00040713237552457334,evaluation loss:0.0003695598119520582
train loss:0.00044606734409171624,evaluation loss:0.0003398409899091348
train loss:0.0004543478888081154,evaluation loss:0.00043969573501575116
train loss:0.0003822985211930548,evaluation loss:0.000342275966249872
train loss:0.0014267074793072728,evaluation loss:0.0006199863448273391
train loss:0.0005266187299033238,evaluation loss:0.000384160278190393
train loss:0.00039175672391138504,evaluation loss:0.0003832470567431301
train loss:0.00040666298409632875,evaluation loss:0.0006534791488472061
train loss:0.0006598505310345597,evaluation loss:0.000362430478950652
train loss:0.0003742884925789743,evaluation loss:0.0003562236932339147
train loss:0.0003971030256555726,evaluation loss:0.0003401650581508875
train loss:0.0004168419939863573,evaluation loss:0.0003789498839372148
train loss:0.00036432535368173075,evaluation loss:0.00036916910855021946
train loss:0.00039158144245448056,evaluation loss:0.00033632213938593244
train loss:0.000374762543773007,evaluation loss:0.000341490459201547
train loss:0.00045051561937725637,evaluation loss:0.0004692681550902004
train loss:0.0005699522967915982,evaluation loss:0.0005907582982520883
train loss:0.0003865742835235627,evaluation loss:0.0005047227954491973
train loss:0.0004028771615897616,evaluation loss:0.00038351265247911216
