train loss:0.0007866007190993211,evaluation loss:0.0004616559269682815
train loss:0.0009148141854287436,evaluation loss:0.0015930465180038786
train loss:0.000755513139301911,evaluation loss:0.0005248377361567691
train loss:0.0006004060300862572,evaluation loss:0.0004710660917529215
train loss:0.0007272396927874069,evaluation loss:0.0004526675872815152
train loss:0.0004657009299990023,evaluation loss:0.0007254700603274007
train loss:0.000749698769019839,evaluation loss:0.0006318670231848956
train loss:0.000464054257463431,evaluation loss:0.0006512432562885806
train loss:0.0006087659490731312,evaluation loss:0.0013296774753447
train loss:0.0005215204557316611,evaluation loss:0.0006017969989140208
train loss:0.00046161503863307495,evaluation loss:0.00048311201826436447
train loss:0.0005971327649604063,evaluation loss:0.0007747647953995814
train loss:0.0009717829489090946,evaluation loss:0.0014281714868654186
train loss:0.000541183190822873,evaluation loss:0.0005469506587057064
train loss:0.0005059043747072185,evaluation loss:0.0004264105586723114
train loss:0.000522436900549413,evaluation loss:0.0005983392232640957
train loss:0.0006108818864352846,evaluation loss:0.0005383506611300012
train loss:0.0004694310227932874,evaluation loss:0.0005883239374573653
train loss:0.000518578059442613,evaluation loss:0.0005975538205044965
train loss:0.0004684938208811218,evaluation loss:0.00048720619718854626
train loss:0.0006788398410814503,evaluation loss:0.0007914709160104394
train loss:0.00056916632396072,evaluation loss:0.0004870628753754621
train loss:0.0005765045562535913,evaluation loss:0.00045067878090776503
train loss:0.000635741041090417,evaluation loss:0.00048279775170764576
train loss:0.0005601508752685428,evaluation loss:0.00046333516268835714
train loss:0.000443255373465945,evaluation loss:0.0004195964274307092
train loss:0.0005010623281123117,evaluation loss:0.00044630880292970685
train loss:0.0004540887339923453,evaluation loss:0.0004630976662156172
train loss:0.00046236997137990936,evaluation loss:0.0019004057277925313
train loss:0.0005653811080264859,evaluation loss:0.0005083010032346162
train loss:0.00275160576250831,evaluation loss:0.000758730704546906
train loss:0.000545902091350096,evaluation loss:0.0005763832955077912
train loss:0.0004512123143892192,evaluation loss:0.00048413534823339434
train loss:0.0004651059115227933,evaluation loss:0.0004915409566213688
train loss:0.0004856600701411177,evaluation loss:0.0005525430693523959
train loss:0.0004450132677447982,evaluation loss:0.0004438388559113567
train loss:0.00048817509959917513,evaluation loss:0.00045949772999544317
train loss:0.0005109511598372289,evaluation loss:0.00056956304324558
train loss:0.0004768154281919124,evaluation loss:0.0004816697929830601
train loss:0.0011872536151107246,evaluation loss:0.0004610640928149223
train loss:0.00045672328875904594,evaluation loss:0.00046290293103083967
train loss:0.00043943194553624685,evaluation loss:0.00054432096464249
train loss:0.0004918132070694507,evaluation loss:0.0004332031220352898
train loss:0.0004825964351766743,evaluation loss:0.0005499762201604123
train loss:0.000742217942509645,evaluation loss:0.0004854763305047527
train loss:0.0004906559121688284,evaluation loss:0.0004305001328854511
train loss:0.0005010952737696546,evaluation loss:0.0008815538283670321
train loss:0.0005039427302108379,evaluation loss:0.0005057154077803716
train loss:0.0004886705838240839,evaluation loss:0.0004287431826620984
train loss:0.00047495683368955116,evaluation loss:0.0004232765427635362
train loss:0.0010605575810283578,evaluation loss:0.0004644430824555457
train loss:0.0005940352725398649,evaluation loss:0.005419790445982168
train loss:0.0007316462186281569,evaluation loss:0.0004243469098582864
train loss:0.0006637344837751394,evaluation loss:0.0016644911743545284
train loss:0.0004671342371390589,evaluation loss:0.00044462774822022765
train loss:0.0005310148369365682,evaluation loss:0.00048250048615348836
train loss:0.000496440619584367,evaluation loss:0.0007217675942229107
train loss:0.0005467246138626554,evaluation loss:0.00045231672265799716
train loss:0.0004005375051444086,evaluation loss:0.00042528511742906026
train loss:0.00043320825607224834,evaluation loss:0.00040938654128694905
train loss:0.00045148969596387666,evaluation loss:0.0004374627916452785
train loss:0.0006013272210111609,evaluation loss:0.0005907908101410916
train loss:0.00044102464732228934,evaluation loss:0.0007317772193346173
train loss:0.0008113427081601306,evaluation loss:0.00042844918449797356
train loss:0.0004944922904542182,evaluation loss:0.00045719797005100795
train loss:0.0005888476661008705,evaluation loss:0.0005264038928241159
train loss:0.0004467821415649572,evaluation loss:0.0004947615864997109
train loss:0.0005353446319835105,evaluation loss:0.0005393836870401477
train loss:0.00042637605050307076,evaluation loss:0.00045981957907012354
train loss:0.0004750645053718472,evaluation loss:0.0004604419402312487
train loss:0.0006239199773214447,evaluation loss:0.001008668636980777
train loss:0.00047899773380777333,evaluation loss:0.0005850932813094308
train loss:0.0005358678958145901,evaluation loss:0.0004769401236747702
train loss:0.0004328062666900223,evaluation loss:0.00045938330295030027
train loss:0.0004953169976943172,evaluation loss:0.00044377163091364005
train loss:0.00042864440171494305,evaluation loss:0.00046921585987244423
train loss:0.00044396641072429096,evaluation loss:0.0004012022167444229
train loss:0.0006096210236137267,evaluation loss:0.0004643223675278326
train loss:0.0004243298462824896,evaluation loss:0.0005650004177975158
train loss:0.0011306575002284565,evaluation loss:0.000705738829371209
