[[0.0, 0.03, 0.03, 0.01], [42, 57]]
[[0.02, 0.0, 0.01, 0.04], [28, 71]]
[[0.005, 0.03, 0.03, 0.075], [25, 75]]
[[0.01, 0.055, 0.015, 0.12], [32, 67]]
[[0.005, 0.11, 0.065, 0.145], [35, 64]]
[[0.005, 0.14, 0.115, 0.165], [34, 65]]
[[0.07, 0.15, 0.115, 0.15], [45, 54]]
[[0.09, 0.1, 0.12, 0.13], [43, 56]]
[[0.16, 0.035, 0.08, 0.135], [47, 52]]
[[0.165, 0.085, 0.08, 0.135], [53, 46]]
[[0.0, 0.0, 0.0, 0.0], [50, 50]]
[[0.0, 0.015, 0.035, 0.005], [27, 72]]
[[0.05, 0.005, 0.01, 0.025], [61, 38]]
[[0.01, 0.02, 0.035, 0.005], [42, 57]]
[[0.055, 0.015, 0.015, 0.035], [58, 41]]
[[0.005, 0.045, 0.035, 0.015], [49, 50]]
[[0.005, 0.055, 0.01, 0.03], [60, 40]]
[[0.0, 0.095, 0.06, 0.01], [57, 42]]
[[0.03, 0.11, 0.04, 0.025], [68, 31]]
[[0.02, 0.09, 0.04, 0.0], [73, 26]]
[[0.055, 0.08, 0.03, 0.015], [75, 25]]
[[0.04, 0.085, 0.05, 0.005], [69, 30]]
[[0.04, 0.075, 0.045, 0.015], [65, 34]]
[[0.05, 0.05, 0.055, 0.015], [58, 41]]
[[0.075, 0.045, 0.065, 0.03], [55, 44]]
[[0.12, 0.03, 0.085, 0.025], [57, 42]]
[[0.15, 0.025, 0.105, 0.05], [53, 46]]
[[0.135, 0.025, 0.11, 0.105], [42, 57]]
[[0.165, 0.06, 0.095, 0.16], [46, 53]]
[[0.16, 0.075, 0.1, 0.18], [45, 54]]
[[0.155, 0.105, 0.125, 0.17], [46, 53]]
[[0.18, 0.12, 0.105, 0.19], [50, 49]]
[[0.18, 0.165, 0.13, 0.18], [52, 47]]
[[0.185, 0.17, 0.095, 0.19], [55, 44]]
[[0.0, 0.0, 0.0, 0.0], [50, 50]]
[[0.0, 0.005, 0.005, 0.04], [10, 90]]
[[0.01, 0.005, 0.0, 0.08], [15, 84]]
[[0.0, 0.025, 0.005, 0.11], [17, 82]]
[[0.01, 0.01, 0.0, 0.135], [12, 87]]
[[0.015, 0.025, 0.005, 0.16], [19, 80]]
[[0.02, 0.03, 0.02, 0.17], [20, 79]]
[[0.005, 0.015, 0.005, 0.165], [10, 89]]
[[0.015, 0.02, 0.01, 0.17], [16, 83]]
[[0.02, 0.02, 0.01, 0.165], [18, 81]]
[[0.01, 0.02, 0.035, 0.16], [13, 86]]
[[0.015, 0.045, 0.0, 0.165], [26, 73]]
[[0.035, 0.015, 0.035, 0.14], [22, 77]]
[[0.09, 0.015, 0.01, 0.16], [38, 61]]
[[0.105, 0.02, 0.01, 0.14], [45, 54]]
[[0.165, 0.025, 0.01, 0.16], [52, 47]]
[[0.18, 0.02, 0.01, 0.18], [51, 48]]
[[0.16, 0.025, 0.005, 0.16], [52, 47]]
[[0.165, 0.045, 0.01, 0.2], [50, 50]]
[[0.19, 0.04, 0.035, 0.185], [51, 48]]
[[0.185, 0.055, 0.045, 0.185], [51, 48]]
[[0.17, 0.05, 0.035, 0.2], [48, 51]]
[[0.165, 0.07, 0.04, 0.2], [49, 50]]
[[0.165, 0.055, 0.03, 0.18], [51, 48]]
[[0.0, 0.0, 0.0, 0.0], [50, 50]]
[[0.01, 0.015, 0.02, 0.02], [38, 61]]
[[0.015, 0.01, 0.005, 0.03], [41, 58]]
[[0.0, 0.015, 0.035, 0.005], [27, 72]]
