train loss:0.16970536965721597,evaluation loss:0.024807242055733997
train loss:0.020652584708295764,evaluation loss:0.013344331877306104
train loss:0.013471011995958786,evaluation loss:0.00940823257745554
train loss:0.010069810750428588,evaluation loss:0.008218126899252335
train loss:0.008073168528305056,evaluation loss:0.0070642884510258835
train loss:0.006495800756965764,evaluation loss:0.004562002804595977
train loss:0.0055344587007615095,evaluation loss:0.0035110484343022106
train loss:0.004524587688501924,evaluation loss:0.003050124680157751
train loss:0.003968405376266067,evaluation loss:0.0029490763146895914
train loss:0.0034556843961278598,evaluation loss:0.0027680244374399384
train loss:0.0033167555161829417,evaluation loss:0.0023154389307213324
train loss:0.003425801554597759,evaluation loss:0.001804904160477842
train loss:0.0025831084696013324,evaluation loss:0.0017415579030057415
train loss:0.002467773275566287,evaluation loss:0.0016712909641986092
train loss:0.002189973308607781,evaluation loss:0.001506840234893995
train loss:0.0020225324869291702,evaluation loss:0.001208273019680443
train loss:0.0017664470105955843,evaluation loss:0.001173721774830483
train loss:0.0015176632754446474,evaluation loss:0.0010539778023182103
train loss:0.0016407602726152013,evaluation loss:0.0011681011645123362
train loss:0.0017836729930422734,evaluation loss:0.003276431312163671
train loss:0.0016032515986201664,evaluation loss:0.0010763293277705089
train loss:0.0012080880575619328,evaluation loss:0.0014870545943267643
train loss:0.0012116731306984244,evaluation loss:0.000841270643286407
train loss:0.001128317357991667,evaluation loss:0.0009002399592039485
train loss:0.0011590098877301595,evaluation loss:0.0012029963962656134
train loss:0.0011849422235779153,evaluation loss:0.0011731928505469113
train loss:0.0015945945788795749,evaluation loss:0.0010198397270869465
train loss:0.0011468965223078462,evaluation loss:0.000879537434472392
train loss:0.0011431998592646173,evaluation loss:0.0008293885718254993
train loss:0.0009490342097706161,evaluation loss:0.0019368945329915732
train loss:0.001043682108866051,evaluation loss:0.0012332998274359852
train loss:0.0011131129579249925,evaluation loss:0.0011770403769332915
train loss:0.0011026022769025682,evaluation loss:0.0009839520576254775
train loss:0.0011386516530668207,evaluation loss:0.0008655179747923588
train loss:0.0009155340396925264,evaluation loss:0.000763021397870034
train loss:0.0008472442639079721,evaluation loss:0.000752848384824271
train loss:0.0010958318373013754,evaluation loss:0.000621108221821487
train loss:0.0008267247816547751,evaluation loss:0.0007812964176991954
train loss:0.0008064757030903517,evaluation loss:0.0008519162220181897
train loss:0.001045293658535229,evaluation loss:0.0006760054685097809
train loss:0.001677806722970369,evaluation loss:0.0039481301985991495
train loss:0.001268807645586397,evaluation loss:0.0007491156022297219
train loss:0.000722513357080364,evaluation loss:0.0007255576909907783
train loss:0.0007278059779006678,evaluation loss:0.0008750808095404258
train loss:0.0008715871806392291,evaluation loss:0.0010636066950003927
train loss:0.0010378624290751759,evaluation loss:0.0014493536931695417
train loss:0.0007781115297499733,evaluation loss:0.0006624240185677384
train loss:0.0008658367490473514,evaluation loss:0.000793848795001395
train loss:0.000809352308230397,evaluation loss:0.0006808662738573428
train loss:0.0006852497934839145,evaluation loss:0.0007991496240720153
train loss:0.0015499548098887317,evaluation loss:0.0009750597178936005
train loss:0.0008459443502943032,evaluation loss:0.0008668841056836148
train loss:0.0006695342706128334,evaluation loss:0.0014356535102706403
train loss:0.0007049736406770535,evaluation loss:0.0006180913119654481
train loss:0.0007465005222911713,evaluation loss:0.0009007303742691875
train loss:0.0006239437937135032,evaluation loss:0.0006673579948255793
train loss:0.001514149892924858,evaluation loss:0.0005444335164308238
train loss:0.0007653643974966447,evaluation loss:0.0005936545872827992
train loss:0.0007938743629589833,evaluation loss:0.000730212305400831
train loss:0.0007177892611556065,evaluation loss:0.0007435426106288408
train loss:0.0006338179053273052,evaluation loss:0.0005415600763323407
train loss:0.0007275602042985459,evaluation loss:0.000595631074005117
train loss:0.0007429524627999248,evaluation loss:0.000866688069072552
train loss:0.0013444344862364233,evaluation loss:0.0005246619868557901
train loss:0.000578953723985857,evaluation loss:0.0006784990798526754
train loss:0.0014008634338097182,evaluation loss:0.000573576112704662
train loss:0.001065438117075246,evaluation loss:0.0015269905076517414
train loss:0.0008947794893174432,evaluation loss:0.0006041336358369639
train loss:0.0006789337761195687,evaluation loss:0.0005707853269996122
train loss:0.0006153281535565232,evaluation loss:0.0006668662341932455
train loss:0.0008448950735328254,evaluation loss:0.0005228797138746207
train loss:0.0007748780641122721,evaluation loss:0.0011169736215379089
train loss:0.0006867352582048625,evaluation loss:0.0005142406313098036
train loss:0.0005858220947023558,evaluation loss:0.0006532694513831909
train loss:0.000637848074984504,evaluation loss:0.0005419858129850279
train loss:0.000729231701795167,evaluation loss:0.0009228615963365883
train loss:0.0006076641436569238,evaluation loss:0.0007679066805091376
train loss:0.000614083595307117,evaluation loss:0.0006270863756071776
train loss:0.0007548985458318687,evaluation loss:0.01230050966454049
train loss:0.0022356600085913668,evaluation loss:0.0005754974573695411
train loss:0.0011602415794186526,evaluation loss:0.005875598454925542
train loss:0.0014251587395847309,evaluation loss:0.000570770453972121
train loss:0.0005485876002542985,evaluation loss:0.0005621207887694861
train loss:0.0005427059234837847,evaluation loss:0.0005594030905437345
train loss:0.0006506213164054012,evaluation loss:0.0008180990174878388
train loss:0.0006011143515934237,evaluation loss:0.0005915385622453566
train loss:0.0006099971738876775,evaluation loss:0.0005323500454930279
train loss:0.000652841447784643,evaluation loss:0.0007308355052373372
train loss:0.0006158704396511894,evaluation loss:0.0005456520108661304
train loss:0.0005972058587455346,evaluation loss:0.0004937638048431836
