train loss:0.0005936567524865192,evaluation loss:0.0004923982710655157
train loss:0.0006256643922824878,evaluation loss:0.0004864545286788295
train loss:0.0005583238310161202,evaluation loss:0.0005061954124054561
train loss:0.0005759449860003467,evaluation loss:0.0006289376091444865
train loss:0.0007755122108695408,evaluation loss:0.0009638313475685815
train loss:0.0005752016501598215,evaluation loss:0.0011637249253302192
train loss:0.0008006876033808415,evaluation loss:0.0007779588166158646
train loss:0.00055947558915553,evaluation loss:0.001017127581872046
train loss:0.0005409834380164587,evaluation loss:0.0005153710740463187
train loss:0.0005655290585612723,evaluation loss:0.0005454730504425243
train loss:0.0005498610296247838,evaluation loss:0.0004911829707756018
train loss:0.000532298514614619,evaluation loss:0.0004908752651923957
train loss:0.0016775145830858187,evaluation loss:0.000683088352282842
train loss:0.0006311808623043665,evaluation loss:0.0004849314553818355
train loss:0.0008533155012022083,evaluation loss:0.0007105042022885755
train loss:0.0007224548494074649,evaluation loss:0.005514116837487867
train loss:0.0010248188659412942,evaluation loss:0.000467251469187128
train loss:0.0005026893357959731,evaluation loss:0.0006882333933996657
train loss:0.0005522157418454299,evaluation loss:0.0004872363574880486
train loss:0.0006307786513692311,evaluation loss:0.0006078044486154491
train loss:0.0005992528134811437,evaluation loss:0.000536509223942024
train loss:0.0004837328050295279,evaluation loss:0.0004679238705042129
train loss:0.0013063480922331412,evaluation loss:0.0008973877139699956
train loss:0.0005644018999494923,evaluation loss:0.00044190781239497785
train loss:0.0005028259900427656,evaluation loss:0.0005193969254226734
train loss:0.0006211924795934465,evaluation loss:0.00042528883495833724
train loss:0.0005675212873029522,evaluation loss:0.0005751469288952649
train loss:0.0005805616131207595,evaluation loss:0.0006583940198955436
train loss:0.00045923529178253374,evaluation loss:0.0005417867049497242
train loss:0.0006822414747148286,evaluation loss:0.00045847227156627925
train loss:0.0006104444898179887,evaluation loss:0.0005118613664914543
train loss:0.0009065317940743019,evaluation loss:0.0011871879076352343
train loss:0.0011158985214327307,evaluation loss:0.0004662389124860056
train loss:0.0006143813569603177,evaluation loss:0.00047890293256690105
train loss:0.0006371653431415325,evaluation loss:0.0015950384879639993
train loss:0.0007577060784872932,evaluation loss:0.0004501994340292489
train loss:0.0006369208943700263,evaluation loss:0.0005200611902788902
train loss:0.0005351131828016756,evaluation loss:0.000685719545193327
train loss:0.0005538592693483224,evaluation loss:0.0005570882882845277
train loss:0.000513371067912279,evaluation loss:0.00042710792768048124
train loss:0.0005342017975635827,evaluation loss:0.00043174257734790444
train loss:0.0006092616034341821,evaluation loss:0.0005048533115768805
train loss:0.0004950978038929558,evaluation loss:0.0004715956582610185
train loss:0.0004756861108035082,evaluation loss:0.00045419303205562755
train loss:0.0005037010904440346,evaluation loss:0.0009105723293032497
train loss:0.0005888821706321323,evaluation loss:0.0004208558927833413
train loss:0.001360253061769375,evaluation loss:0.0006176861245573188
train loss:0.0005447213220274231,evaluation loss:0.00041586100996937603
train loss:0.0004943037090318588,evaluation loss:0.0006708552963876475
train loss:0.0005334052475518547,evaluation loss:0.0012411072889032464
train loss:0.0004999896553878595,evaluation loss:0.00086047684502167
train loss:0.0010593251294873578,evaluation loss:0.0004590620994955922
train loss:0.0005291140232050868,evaluation loss:0.0005296775527919332
train loss:0.0005034118043113267,evaluation loss:0.00043204844599434484
train loss:0.0006036268612660933,evaluation loss:0.0006902636504188801
train loss:0.0005798984958043245,evaluation loss:0.00047476541561384996
train loss:0.0005131194148513411,evaluation loss:0.0011371110643570621
train loss:0.0005127870746946428,evaluation loss:0.00044853480940219013
train loss:0.0005666008099069586,evaluation loss:0.0004587406539940275
train loss:0.0005529894386806215,evaluation loss:0.0007413439210116243
train loss:0.0005076654237200273,evaluation loss:0.0005255252375112226
train loss:0.0005601028136879904,evaluation loss:0.000705122536358734
train loss:0.00048561735541928405,evaluation loss:0.00045249460429962104
train loss:0.0004874514164839638,evaluation loss:0.0007462065608706325
train loss:0.0022712842380618286,evaluation loss:0.002364172542002052
train loss:0.0006670226609761206,evaluation loss:0.0004933774238452315
train loss:0.0012813118832127658,evaluation loss:0.004285364140135546
train loss:0.0014316207297573177,evaluation loss:0.0004744983346123869
train loss:0.0004975277766789077,evaluation loss:0.0005381925356535551
train loss:0.0004610787308289825,evaluation loss:0.0005441994755528868
