train loss:0.0005292477675538976,evaluation loss:0.00047151078761089595
train loss:0.0005264627019641921,evaluation loss:0.0006839154618016133
train loss:0.0012924950666880857,evaluation loss:0.004436363675631582
train loss:0.0010369478462962435,evaluation loss:0.0004113660203681017
train loss:0.0005090660572022899,evaluation loss:0.00044274070921043556
train loss:0.00042835323389833014,evaluation loss:0.00042229795071762054
train loss:0.0004568198601191398,evaluation loss:0.0003728355581794555
train loss:0.000400822803688546,evaluation loss:0.0004475520361059656
train loss:0.0008502377058903221,evaluation loss:0.00039316380813640234
train loss:0.00042495855304878203,evaluation loss:0.00037749379989691076
train loss:0.0004187612200136452,evaluation loss:0.00043490290311941256
train loss:0.0004162412803755918,evaluation loss:0.0003998725844818788
train loss:0.0004164762683406783,evaluation loss:0.0003664613876026124
train loss:0.00043870117551705337,evaluation loss:0.0004082753871140691
train loss:0.0009984213942516363,evaluation loss:0.0005256799913089101
train loss:0.00046484808420548993,evaluation loss:0.0004063035497286667
train loss:0.0004412709200551035,evaluation loss:0.0007615244442907473
train loss:0.0004855344968139737,evaluation loss:0.0004310848501821359
train loss:0.0010122207833774155,evaluation loss:0.0007541929866420105
train loss:0.0008587801373020435,evaluation loss:0.0007345630234340206
train loss:0.000580111568585077,evaluation loss:0.0004668916638668937
train loss:0.0004495711298659444,evaluation loss:0.0005640631939362113
train loss:0.0006134750846589061,evaluation loss:0.0005273020991201823
train loss:0.0004448003660703156,evaluation loss:0.0003885691587735588
train loss:0.00042979090079218926,evaluation loss:0.00038104194682091473
train loss:0.0004451111613889225,evaluation loss:0.0003659584472188726
train loss:0.00038226573948729005,evaluation loss:0.0004792623260679344
train loss:0.0015381828876949537,evaluation loss:0.0006244594813324511
train loss:0.0004549280400775994,evaluation loss:0.0006472490058513358
train loss:0.0004323489805149923,evaluation loss:0.0005987963294804406
