train loss:0.00043237037850000587,evaluation loss:0.00039613194579336174
train loss:0.0005855250716801189,evaluation loss:0.0012361180949180077
train loss:0.0013323387848989418,evaluation loss:0.0009231790424867844
train loss:0.0004922797719094282,evaluation loss:0.0004344081797171384
train loss:0.0005000836086158718,evaluation loss:0.00046867598333240795
train loss:0.0004765845005749725,evaluation loss:0.00044761512350911895
train loss:0.0004707273463282036,evaluation loss:0.0006988905341131612
train loss:0.0005196974727975127,evaluation loss:0.0004333713824356285
train loss:0.00044375714775621116,evaluation loss:0.000773724084137939
train loss:0.0005901332396509436,evaluation loss:0.00039086996597082667
train loss:0.00044030457150559716,evaluation loss:0.0004911333933705464
train loss:0.00044664367948522946,evaluation loss:0.0004988403462145168
train loss:0.0005861538231935507,evaluation loss:0.00045073384244460614
train loss:0.0004894425510428846,evaluation loss:0.0005610317292545612
train loss:0.000486013587214984,evaluation loss:0.00040503856628978
train loss:0.001223958845124192,evaluation loss:0.0011765757847266892
train loss:0.0007529909013101133,evaluation loss:0.000403302485938184
train loss:0.0004577222453614619,evaluation loss:0.0004097911917294065
train loss:0.0004350450476825548,evaluation loss:0.00039350326114799826
train loss:0.0005281724996166303,evaluation loss:0.0006876062912245591
train loss:0.000700716968155272,evaluation loss:0.0005478416656842455
train loss:0.0004999363643340379,evaluation loss:0.0009183638001559302
train loss:0.00048378628089267294,evaluation loss:0.0005433693363253648
train loss:0.000973310820700135,evaluation loss:0.0005722945507538195
train loss:0.0005194281295795614,evaluation loss:0.000545057764975354
train loss:0.0005233156797961176,evaluation loss:0.0004845516756176949
train loss:0.0006579416563909035,evaluation loss:0.0005118111779059594
train loss:0.00044537179674080106,evaluation loss:0.0005316653220991915
train loss:0.00042482482106909934,evaluation loss:0.00038408176090645914
train loss:0.0007396289622799183,evaluation loss:0.0020639648272966346
train loss:0.0010849535415521435,evaluation loss:0.0005968998904184749
train loss:0.00043406337463238744,evaluation loss:0.0005802870951204871
train loss:0.0004534000525988328,evaluation loss:0.0005701298325827035
train loss:0.0004564316273899749,evaluation loss:0.0004352056387385043
train loss:0.00048453806593897755,evaluation loss:0.001055436897634839
train loss:0.0006663081772179187,evaluation loss:0.0005887786974199116
train loss:0.00044536407961762354,evaluation loss:0.0004977977553304906
train loss:0.0006965864033797212,evaluation loss:0.0005273434896177301
train loss:0.0005475342776965893,evaluation loss:0.00046817606198601425
train loss:0.00041420209951562964,evaluation loss:0.001115773276736339
train loss:0.0007254717324637265,evaluation loss:0.002781663495503987
train loss:0.0010705775503690044,evaluation loss:0.0005066184074773143
train loss:0.0004152031629928388,evaluation loss:0.00039185866189654915
train loss:0.0004713994918953783,evaluation loss:0.0005345770177276184
train loss:0.00044706042657101835,evaluation loss:0.00039798696573901303
train loss:0.00043747010410394673,evaluation loss:0.00046379710984183474
train loss:0.0005270514763348425,evaluation loss:0.0006680967499657224
train loss:0.003721659887135805,evaluation loss:0.0005826820347768565
train loss:0.00046720282419604096,evaluation loss:0.0005321822362020611
train loss:0.0004832031239250985,evaluation loss:0.00039286526104357716
