train loss:0.0007812688706811362,evaluation loss:0.0011378260503988713
train loss:0.0015446680306922644,evaluation loss:0.00048439750195636104
train loss:0.000504653812580121,evaluation loss:0.0006879573600599542
train loss:0.00044471026776591314,evaluation loss:0.00042075129749719054
train loss:0.000405443142032406,evaluation loss:0.0004985091310421315
train loss:0.00046030788192486703,evaluation loss:0.000397952056179444
train loss:0.00040936140661263686,evaluation loss:0.00038734709281319134
train loss:0.0004400390841813836,evaluation loss:0.00044495535645789155
train loss:0.0006207516185289326,evaluation loss:0.0004149635429106032
train loss:0.0004201811228995211,evaluation loss:0.00034945255611091853
