train loss:0.0006957045645928398,evaluation loss:0.0003715979934592421
train loss:0.0008347512676361173,evaluation loss:0.0005880117620108649
train loss:0.0004116536412766436,evaluation loss:0.00045757030602544546
train loss:0.0005514614285251203,evaluation loss:0.0004487981078758215
train loss:0.00041338360970257784,evaluation loss:0.00036881706182612106
train loss:0.00039369916994473896,evaluation loss:0.00039351532177533954
train loss:0.0004010530005568095,evaluation loss:0.0007157194166211411
train loss:0.00042986483579928364,evaluation loss:0.0004048109258292243
train loss:0.0005794309455571541,evaluation loss:0.0004112849788119396
train loss:0.0005452733914959632,evaluation loss:0.0006248304950228581
train loss:0.00040715564112664047,evaluation loss:0.00032534026831854135
train loss:0.0003730346893765576,evaluation loss:0.00042066835158038884
train loss:0.0011554785533614146,evaluation loss:0.0005641634847658376
train loss:0.0004132268968533026,evaluation loss:0.0003692456734521935
train loss:0.00040335917146876453,evaluation loss:0.0003514409055545305
train loss:0.00038759594766209676,evaluation loss:0.00043802162593541046
train loss:0.0004029587558761705,evaluation loss:0.00042004914624461286
train loss:0.00036542470140072205,evaluation loss:0.00033576417287501195
train loss:0.0004478459045155129,evaluation loss:0.002089483241434209
train loss:0.0004787499684122546,evaluation loss:0.0003824667093188812
train loss:0.0004411852355891218,evaluation loss:0.0006944564927835017
train loss:0.0008891002426632137,evaluation loss:0.0003454759683033141
train loss:0.00042068285498923313,evaluation loss:0.00039201542870917667
train loss:0.0004370022198903219,evaluation loss:0.0003192447353891718
train loss:0.00041634192493802404,evaluation loss:0.00033436328424916913
train loss:0.00041393559004063716,evaluation loss:0.0006720556732034311
train loss:0.0006221719266856477,evaluation loss:0.0012673995496394733
train loss:0.00046895162643825945,evaluation loss:0.00032043372290596985
train loss:0.00043758670120344807,evaluation loss:0.0006560308344584579
train loss:0.0005632492141254867,evaluation loss:0.0003560863163632651
