train loss:0.2572699591207008,evaluation loss:0.03551954800883929
train loss:0.026137649787900348,evaluation loss:0.02368519191319744
train loss:0.017625552703005573,evaluation loss:0.01547525537510713
train loss:0.01283671531903868,evaluation loss:0.011372168936456243
train loss:0.010199177666800096,evaluation loss:0.008697497557538252
train loss:0.0071643723039111745,evaluation loss:0.00742085026577115
train loss:0.005351559670331577,evaluation loss:0.0054880472909038264
train loss:0.004569974403905993,evaluation loss:0.004454954065537701
train loss:0.0037760568384934837,evaluation loss:0.003733328857924789
train loss:0.003805663116509095,evaluation loss:0.0044724089171116555
train loss:0.002866894808539655,evaluation loss:0.003353617383011927
train loss:0.0026967283891281115,evaluation loss:0.0028229823258395
train loss:0.002370949629403185,evaluation loss:0.0032984632533043625
train loss:0.0022321236838858264,evaluation loss:0.0023692730038116375
train loss:0.00204547271617533,evaluation loss:0.002222228335449472
train loss:0.0018040245132093938,evaluation loss:0.0018589303246699274
train loss:0.0017070422962812395,evaluation loss:0.0019792492016373823
train loss:0.0018930604273919016,evaluation loss:0.001850781572284177
train loss:0.0016533939276996534,evaluation loss:0.0015605572669301182
train loss:0.001851315408566734,evaluation loss:0.0017659299483057112
train loss:0.0015137071274997046,evaluation loss:0.0013338376748530814
train loss:0.001207048798823962,evaluation loss:0.001489968023573359
train loss:0.001373288100148784,evaluation loss:0.0012598326410322139
train loss:0.0011952129862038419,evaluation loss:0.0012532683128180604
train loss:0.0010903228923173933,evaluation loss:0.0010806480490524943
train loss:0.001030124511695855,evaluation loss:0.0012326344886484245
train loss:0.0010181286100608606,evaluation loss:0.0012943848695916435
train loss:0.0009363000419398305,evaluation loss:0.0010333148393935213
train loss:0.0012783398102328646,evaluation loss:0.000981740242180725
train loss:0.0008699968217115384,evaluation loss:0.0010497666119287411
train loss:0.0010038535180986704,evaluation loss:0.001312914698307092
train loss:0.0007944646846832862,evaluation loss:0.0008044671645620838
train loss:0.0008408614441577811,evaluation loss:0.0009330584454194953
train loss:0.0008691568174981513,evaluation loss:0.0007789693064599608
train loss:0.0009068933744856622,evaluation loss:0.0009465193472957859
train loss:0.0008424505273675701,evaluation loss:0.0007037951222931345
train loss:0.0007378837167683135,evaluation loss:0.0012691256726005426
train loss:0.0019435325327018897,evaluation loss:0.0013457707944326102
train loss:0.0010130918786065497,evaluation loss:0.0010511322723080715
train loss:0.0006948828022965851,evaluation loss:0.0006672425506015618
train loss:0.0009306400365555116,evaluation loss:0.000728609321716552
train loss:0.0007583309188097094,evaluation loss:0.0006014395194749038
train loss:0.0006328630389665098,evaluation loss:0.0008791055103453497
train loss:0.0010176368615551232,evaluation loss:0.0027343221202803156
train loss:0.000816123915380255,evaluation loss:0.00060717565259741
train loss:0.0006004113946498061,evaluation loss:0.0006696297825934986
train loss:0.0010111156407219823,evaluation loss:0.0006916431651916355
train loss:0.001157594158333571,evaluation loss:0.0005943118938982176
train loss:0.0006510556590607545,evaluation loss:0.0006020049380216127
train loss:0.000968684468777307,evaluation loss:0.0006906667326499398
train loss:0.0006513991397999537,evaluation loss:0.0006673347146715969
train loss:0.0006258757353255835,evaluation loss:0.000638246715728504
train loss:0.0006942674469125146,evaluation loss:0.0007364098273683339
train loss:0.0006273088283099544,evaluation loss:0.0005138757624081336
train loss:0.0006120280071627348,evaluation loss:0.0005541737715248019
train loss:0.000586615823218987,evaluation loss:0.000632370180877236
train loss:0.0006345011320566603,evaluation loss:0.0005790550814708695
train loss:0.0005732624490822976,evaluation loss:0.0005141870574637626
train loss:0.0008522826748958324,evaluation loss:0.0005038314212773306
train loss:0.0006894425832191094,evaluation loss:0.000804434212235113
train loss:0.0014687335528530336,evaluation loss:0.0007104093519349892
train loss:0.000674871655064635,evaluation loss:0.0005847549890556062
train loss:0.0005597708273853641,evaluation loss:0.0005514673665553952
train loss:0.0005416694041438556,evaluation loss:0.00048537877155467867
train loss:0.0010681595590237218,evaluation loss:0.0005107514987078806
train loss:0.0005890758184250444,evaluation loss:0.0005502085220844795
train loss:0.0008505467046537281,evaluation loss:0.0012245127058122308
train loss:0.0006014935343652421,evaluation loss:0.000844793005186754
train loss:0.0005545389331624999,evaluation loss:0.0011480457770327726
train loss:0.0005867440093425102,evaluation loss:0.0007745225535472855
train loss:0.0005480463406759857,evaluation loss:0.0005754774329640593
train loss:0.0006205997665044076,evaluation loss:0.0006257992790779099
train loss:0.0006272260804204658,evaluation loss:0.0013601026905234904
train loss:0.0005714363222068641,evaluation loss:0.0012286060285987333
train loss:0.0007772654246461267,evaluation loss:0.0007532484024219836
train loss:0.0008332200610311702,evaluation loss:0.00047304800051885346
train loss:0.0005948352383711609,evaluation loss:0.0006234575227911895
train loss:0.000589135407062713,evaluation loss:0.0004770285954388479
train loss:0.0007486692025850062,evaluation loss:0.001176661499387895
train loss:0.0005192771945682277,evaluation loss:0.00045503250148613004
train loss:0.0004855965655830611,evaluation loss:0.0006244002792906637
train loss:0.0006706500823687141,evaluation loss:0.0005126698398574566
train loss:0.0005348957888296961,evaluation loss:0.0005341382406186312
train loss:0.0005494824906539483,evaluation loss:0.000473051859686772
train loss:0.0004971229097767112,evaluation loss:0.0010413137400367607
train loss:0.003385509286696712,evaluation loss:0.0006086147205981736
train loss:0.0006338237262146625,evaluation loss:0.0006069948702740173
train loss:0.0005178485461025654,evaluation loss:0.000427419989136979
train loss:0.0005454135853748691,evaluation loss:0.0004636996464493374
train loss:0.0005126443343518379,evaluation loss:0.0004882245605889087
