train loss:0.0006365606617085481,evaluation loss:0.0005082048834689582
train loss:0.0006493103621323826,evaluation loss:0.001626551477238536
train loss:0.0007628359317701931,evaluation loss:0.0009739418029009055
train loss:0.0006195638306962792,evaluation loss:0.0004507450668218856
train loss:0.0005329612286004703,evaluation loss:0.0005170093820197508
train loss:0.0005308258182291563,evaluation loss:0.00046042113778336596
train loss:0.00079495504226846,evaluation loss:0.0011817784203837316
train loss:0.0008967808204033645,evaluation loss:0.000446161030655882
train loss:0.0004910848633395896,evaluation loss:0.0007138660876080394
train loss:0.0006962223718195067,evaluation loss:0.0009066059904095406
train loss:0.0007534661230844601,evaluation loss:0.0004350817767165912
train loss:0.0006167345298308646,evaluation loss:0.00043953013179513317
train loss:0.0005381197624956258,evaluation loss:0.0004292941603731985
train loss:0.0020371673611710626,evaluation loss:0.0048469477604764204
train loss:0.0008585021435768189,evaluation loss:0.0005884900776436553
train loss:0.0005389899665412183,evaluation loss:0.00043613311233154186
train loss:0.0006015417035087012,evaluation loss:0.0008297396348401283
train loss:0.0005247695424865621,evaluation loss:0.0004876767527700091
train loss:0.0004982273365991811,evaluation loss:0.0005639668311535691
train loss:0.0005829750933723214,evaluation loss:0.000612000630159552
train loss:0.0006882094445851786,evaluation loss:0.0007492113965175425
train loss:0.0007820213946009365,evaluation loss:0.0005217473430093378
train loss:0.0005245502857481672,evaluation loss:0.00041190557143030065
train loss:0.000525170867088794,evaluation loss:0.0004962613136740401
train loss:0.00050928494395824,evaluation loss:0.000479274257668294
train loss:0.0010506672554280764,evaluation loss:0.0005901899023835237
train loss:0.0004975844220704554,evaluation loss:0.0004813761285428579
train loss:0.0005385679226795522,evaluation loss:0.00040998685969195016
train loss:0.0005386220336125309,evaluation loss:0.00043811909175322703
train loss:0.000854536416712411,evaluation loss:0.002492465945154739
train loss:0.0008725944294080061,evaluation loss:0.0005943321836336205
train loss:0.0004859677707524194,evaluation loss:0.0004471648009105896
train loss:0.0006725532658795904,evaluation loss:0.000525715861779948
train loss:0.0005490273770798619,evaluation loss:0.00045860963776552427
train loss:0.0005011415458284318,evaluation loss:0.00047878483213329066
train loss:0.000490967224201692,evaluation loss:0.0004262659237914098
train loss:0.0006886998562549707,evaluation loss:0.001012137446862956
train loss:0.0006100925415618501,evaluation loss:0.000545752068865113
train loss:0.000524745999427978,evaluation loss:0.0004934707142335052
train loss:0.0005734856963196459,evaluation loss:0.0005495644077503433
train loss:0.0005319886554692251,evaluation loss:0.0004703407418370868
train loss:0.0005026742963915846,evaluation loss:0.0004968686039016272
train loss:0.0008826921999570914,evaluation loss:0.0005851538279481853
train loss:0.00045771689789641336,evaluation loss:0.0006312111489629994
train loss:0.00048768637110091126,evaluation loss:0.00043417324195615947
train loss:0.00045495139177849825,evaluation loss:0.0005276550558240464
train loss:0.0007706274174173207,evaluation loss:0.0008200127912762885
train loss:0.0006878744335457062,evaluation loss:0.0005102325948731352
train loss:0.0005830209597964616,evaluation loss:0.0006231120467418804
train loss:0.0005791737761076851,evaluation loss:0.00045348343167764444
train loss:0.0004451061235158704,evaluation loss:0.00039076116615130256
train loss:0.0007299345423234626,evaluation loss:0.00041660764060604075
train loss:0.0005247317792964167,evaluation loss:0.000752145008300431
train loss:0.0005992961738229497,evaluation loss:0.001247182092629373
train loss:0.0006054975315540408,evaluation loss:0.00045115474495105445
train loss:0.000555330761684066,evaluation loss:0.0004000435321358964
train loss:0.00047717219252566185,evaluation loss:0.0004827774508157745
train loss:0.0004660923730019325,evaluation loss:0.00038833814760437236
train loss:0.0008920128665825662,evaluation loss:0.000404462776108024
train loss:0.0006238118417968508,evaluation loss:0.0003994429687736556
train loss:0.0005127966183257134,evaluation loss:0.00044556568318512293
train loss:0.0009988078054448124,evaluation loss:0.0006184284177531178
train loss:0.0004649911566957599,evaluation loss:0.0005294012128918743
train loss:0.0005355725467476683,evaluation loss:0.0005773252904570351
train loss:0.0005950078021366305,evaluation loss:0.0006680090310207258
train loss:0.00044896347038350843,evaluation loss:0.0010410175852787992
train loss:0.0004957679597282549,evaluation loss:0.00037799186926955976
train loss:0.00043689033094172677,evaluation loss:0.0004733356482271726
train loss:0.0010862678380362922,evaluation loss:0.000387433798944888
train loss:0.0004468822584991964,evaluation loss:0.0004597836620329569
train loss:0.00045063026664138306,evaluation loss:0.000425120063785774
train loss:0.0006281106678216019,evaluation loss:0.0004016514916050558
train loss:0.000655470755979574,evaluation loss:0.0010591314329455295
train loss:0.0005800747586666451,evaluation loss:0.00041917862739258757
train loss:0.00042449028636231865,evaluation loss:0.0004068616341101006
train loss:0.0006807424925985591,evaluation loss:0.0004004136712561982
train loss:0.0004632436706742737,evaluation loss:0.0004284119379008189
train loss:0.0005003476988349575,evaluation loss:0.0004560899076750502
train loss:0.000495799483906012,evaluation loss:0.00041047892009373756
train loss:0.0005343945616914425,evaluation loss:0.0003827298433558705
