train loss:0.00041330088897666427,evaluation loss:0.000366616153526896
train loss:0.00047635532610001974,evaluation loss:0.0003628547836948807
train loss:0.0004237843518543135,evaluation loss:0.0003940730161654452
train loss:0.00047502525315697614,evaluation loss:0.00034397014096612113
train loss:0.0005656805036172349,evaluation loss:0.0005044476206724842
train loss:0.00046447388910261604,evaluation loss:0.0007533714408054948
train loss:0.0005664694249086703,evaluation loss:0.0006517849173784877
train loss:0.00043271331402744786,evaluation loss:0.0003796063780706997
train loss:0.0004036758464887195,evaluation loss:0.00033653306503159304
train loss:0.0009144407114945353,evaluation loss:0.000585180824661317
train loss:0.0005317556412289074,evaluation loss:0.00039614315707391746
train loss:0.00040216798091326683,evaluation loss:0.00035335455807701993
train loss:0.0005688294751356201,evaluation loss:0.0006027664863116418
train loss:0.00041446401070667586,evaluation loss:0.0003828124366312598
train loss:0.0004225638235463217,evaluation loss:0.00043477398091151066
train loss:0.0007674955853872234,evaluation loss:0.0006114134361268952
train loss:0.0004882914974587039,evaluation loss:0.0003841345533146523
train loss:0.0003959039978023308,evaluation loss:0.00033551002222035703
train loss:0.0005429633808186433,evaluation loss:0.005080001025150219
train loss:0.0007279358292483569,evaluation loss:0.0003372657156432979
train loss:0.0005560101042647147,evaluation loss:0.0003596540327028682
train loss:0.000512339680911585,evaluation loss:0.0003770626635135462
train loss:0.0004002184491885904,evaluation loss:0.0003726840591601407
train loss:0.0004279510730460364,evaluation loss:0.0005672083129563059
train loss:0.00040651911816288094,evaluation loss:0.0003418751516922688
train loss:0.0003741735425137449,evaluation loss:0.00036149078029363104
train loss:0.00038606239395448937,evaluation loss:0.0006105108953003461
train loss:0.0004407374024594901,evaluation loss:0.0004120874596992508
train loss:0.0006377359216761155,evaluation loss:0.0004936907779968654
train loss:0.00039169666403419495,evaluation loss:0.0005739834809598203
train loss:0.0005238459084163575,evaluation loss:0.000403163128066808
train loss:0.0004360743560634243,evaluation loss:0.0003183046903965684
train loss:0.0004939059006574098,evaluation loss:0.00037161607469897716
train loss:0.00040672537482654055,evaluation loss:0.00035944241147565966
train loss:0.0007566795925716481,evaluation loss:0.0025417410341712337
train loss:0.0006457248215156142,evaluation loss:0.0003560908109648153
train loss:0.0006022577787613651,evaluation loss:0.0005023497341123099
train loss:0.0005831982583913486,evaluation loss:0.0003227378164107601
train loss:0.00040248635753717583,evaluation loss:0.00041487992954595637
train loss:0.0003807082352674721,evaluation loss:0.00042115280133051176
