train loss:0.00044882599274084594,evaluation loss:0.00035804324628164373
train loss:0.00042077892831002826,evaluation loss:0.0006859895094142606
train loss:0.002966888542869128,evaluation loss:0.00043772975235090904
train loss:0.00043762886901580107,evaluation loss:0.00035347340987451994
train loss:0.0005195389798852072,evaluation loss:0.0004331437599224349
train loss:0.0004020633105634867,evaluation loss:0.00046710207825526593
train loss:0.00040200766464598323,evaluation loss:0.00039864778227638453
train loss:0.00043975319482948786,evaluation loss:0.0004404542676638812
train loss:0.0004158339375862852,evaluation loss:0.00038860608571364235
train loss:0.00040038226446389064,evaluation loss:0.0003540153537566463
train loss:0.0005164601279830094,evaluation loss:0.0003417775689740665
train loss:0.0004223468139874361,evaluation loss:0.00035229310597060246
train loss:0.0004441391763975844,evaluation loss:0.0004072587296832353
train loss:0.0005051588005395995,evaluation loss:0.0003943704379101594
train loss:0.00038175072198403845,evaluation loss:0.000953587742211918
train loss:0.0007453283618815476,evaluation loss:0.0004115571326110512
train loss:0.00046951464282756205,evaluation loss:0.00039727549398473153
train loss:0.0008804221912820746,evaluation loss:0.0008718476456124336
train loss:0.0004345962530351244,evaluation loss:0.00037768383481306955
train loss:0.0004624907675558158,evaluation loss:0.0005428224210239326
train loss:0.0004600895156424182,evaluation loss:0.0003752716952779641
train loss:0.0004171070931382322,evaluation loss:0.00038640068378299476
train loss:0.00043412135225177434,evaluation loss:0.00045961200958117844
train loss:0.0005360974188079126,evaluation loss:0.00033306844755619144
train loss:0.00047235909344938896,evaluation loss:0.00034654810976159447
train loss:0.00038194933877093716,evaluation loss:0.00042673512749994796
train loss:0.0004112643980382321,evaluation loss:0.0003760293897357769
train loss:0.00101650702272309,evaluation loss:0.00101124951033853
train loss:0.0008577950211474672,evaluation loss:0.00039931320255467045
train loss:0.00043142280677178256,evaluation loss:0.00034040434305400896
train loss:0.00040735634247539564,evaluation loss:0.0003273634443758056
train loss:0.0004499739689587538,evaluation loss:0.0003300634717258314
train loss:0.0005759545906281953,evaluation loss:0.00036188253725413235
train loss:0.0004220289643853903,evaluation loss:0.0003834381165991848
train loss:0.0004530404527031351,evaluation loss:0.0005058109081195046
train loss:0.0005837698571364551,evaluation loss:0.0010247764041802535
train loss:0.0004754698186540433,evaluation loss:0.0003833174550284942
train loss:0.0005872178121838563,evaluation loss:0.00042159456740288684
train loss:0.0004752671734119455,evaluation loss:0.0004357671355440592
train loss:0.0004341128370773125,evaluation loss:0.000723180149604256
train loss:0.00039910642238586054,evaluation loss:0.0006583183334441855
train loss:0.0005792650663352106,evaluation loss:0.0007625203046094006
train loss:0.0007478116206281508,evaluation loss:0.0005310447682859376
train loss:0.0004234154549825083,evaluation loss:0.0003877465089317411
train loss:0.0003936032540271602,evaluation loss:0.00033046726991112034
train loss:0.0004371924239724952,evaluation loss:0.00036243150922625017
train loss:0.000396906860381326,evaluation loss:0.0004067301924806088
train loss:0.0004445456360069026,evaluation loss:0.0005581587358998755
train loss:0.00039169401837474047,evaluation loss:0.0003702313702281875
train loss:0.000614700471002531,evaluation loss:0.001212656532879919
