train loss:0.0003762364181360075,evaluation loss:0.00031861334864515813
train loss:0.00043694415217032656,evaluation loss:0.00032378812951113406
train loss:0.0006694501442931748,evaluation loss:0.00048424797132611274
train loss:0.00043576924387404387,evaluation loss:0.0003568012723311161
train loss:0.0004228351881465642,evaluation loss:0.0003355144964492259
train loss:0.0007320825517429815,evaluation loss:0.0005160840907289336
train loss:0.0011129108980336847,evaluation loss:0.00100696287311924
train loss:0.0005294831470867696,evaluation loss:0.0004080465073153997
train loss:0.00040382132501690646,evaluation loss:0.0003919669116536776
train loss:0.0005172984111898889,evaluation loss:0.000530509131688935
train loss:0.0004646724447714708,evaluation loss:0.0005646492179948836
train loss:0.0006644292598745476,evaluation loss:0.000441715584990258
train loss:0.0004450695790486255,evaluation loss:0.00039270356064662336
train loss:0.00038989128115645143,evaluation loss:0.000579892632473881
train loss:0.0005247247321676696,evaluation loss:0.0003418835219539081
train loss:0.00044872554790345023,evaluation loss:0.0005107307108119131
train loss:0.0004056250581925269,evaluation loss:0.00041921635468800865
train loss:0.0004257455115293851,evaluation loss:0.0004003657396727552
train loss:0.00038908631080024255,evaluation loss:0.0006516496020291621
train loss:0.0005044502956783011,evaluation loss:0.0003831650896851594
